play_id,old_game_id,personnel,play_action
2149,2019092202,21,1
2173,2019092202,21,0
2195,2019092202,23,0
2562,2019092202,NA,NA
2594,2019092202,11,1
2616,2019092202,11,0
2638,2019092202,11,0
2899,2019092202,12,0
2920,2019092202,12,0
2941,2019092202,12,1
2963,2019092202,11,1
2985,2019092202,11,0
3137,2019092202,21,0
3158,2019092202,21,0
3182,2019092202,21,0
3203,2019092202,11,0
3227,2019092202,11,0
3251,2019092202,21,0
3272,2019092202,12,0
3316,2019092202,21,1
3340,2019092202,11,0
3364,2019092202,11,0
3644,2019092202,21,0
3699,2019092202,21,0
3737,2019092202,21,0
3775,2019092202,12,0
191,2019092600,21,0
229,2019092600,12,0
253,2019092600,11,0
294,2019092600,11,0
318,2019092600,11,0
520,2019092600,21,0
564,2019092600,11,0
588,2019092600,21,1
621,2019092600,21,0
656,2019092600,11,1
685,2019092600,11,0
706,2019092600,12,1
730,2019092600,11,0
751,2019092600,11,1
780,2019092600,12,0
806,2019092600,12,0
827,2019092600,11,0
868,2019092600,11,0
889,2019092600,11,0
911,2019092600,11,0
1199,2019092600,11,0
1220,2019092600,11,0
1244,2019092600,11,0
1290,2019092600,11,0
1311,2019092600,12,0
1332,2019092600,11,0
1768,2019092600,11,0
1809,2019092600,11,1
1988,2019092600,11,0
2029,2019092600,11,0
2051,2019092600,11,0
2086,2019092600,11,0
2112,2019092600,11,0
2134,2019092600,11,0
2180,2019092600,11,0
2296,2019092600,13,0
2317,2019092600,13,0
2350,2019092600,11,0
2371,2019092600,11,0
2392,2019092600,11,0
2695,2019092600,21,0
2716,2019092600,11,1
2745,2019092600,11,0
2887,2019092600,11,0
2909,2019092600,11,0
2930,2019092600,11,0
2951,2019092600,11,0
2975,2019092600,11,0
2999,2019092600,11,0
3023,2019092600,11,0
3045,2019092600,11,0
3375,2019092600,11,0
3399,2019092600,11,0
3420,2019092600,11,0
3444,2019092600,11,0
3479,2019092600,11,0
3503,2019092600,11,0
3525,2019092600,11,0
3549,2019092600,11,1
3573,2019092600,11,0
3606,2019092600,23,0
3630,2019092600,23,1
3652,2019092600,11,1
3674,2019092600,11,0
3906,2019092600,11,0
3930,2019092600,11,0
3952,2019092600,11,0
3981,2019092600,11,0
4002,2019092600,11,0
4026,2019092600,11,0
4054,2019092600,11,0
4078,2019092600,11,0
4117,2019092600,11,0
4150,2019092600,11,0
4174,2019092600,11,0
4196,2019092600,11,0
4223,2019092600,11,0
4244,2019092600,11,0
51,2019100611,11,0
75,2019100611,11,0
125,2019100611,11,0
162,2019100611,11,0
311,2019100611,11,1
335,2019100611,11,0
363,2019100611,21,0
392,2019100611,12,0
414,2019100611,11,0
673,2019100611,11,0
697,2019100611,21,1
721,2019100611,12,0
742,2019100611,12,0
763,2019100611,12,1
793,2019100611,12,0
817,2019100611,12,0
838,2019100611,11,0
868,2019100611,11,0
1102,2019100611,11,0
1124,2019100611,11,0
1156,2019100611,11,0
1178,2019100611,11,0
1412,2019100611,12,0
1438,2019100611,11,0
1462,2019100611,21,0
1483,2019100611,21,1
1516,2019100611,11,0
1565,2019100611,11,0
1588,2019100611,11,0
1629,2019100611,12,0
1650,2019100611,11,0
1671,2019100611,23,0
1692,2019100611,23,1
1718,2019100611,11,0
2024,2019100611,11,0
2046,2019100611,11,0
2068,2019100611,11,0
2401,2019100611,21,1
2425,2019100611,21,0
2446,2019100611,11,0
2474,2019100611,11,1
2496,2019100611,11,0
2520,2019100611,11,0
2549,2019100611,11,0
2582,2019100611,11,0
2930,2019100611,11,0
2953,2019100611,11,1
2997,2019100611,12,1
3021,2019100611,11,0
3045,2019100611,11,0
3278,2019100611,11,0
3311,2019100611,11,0
3332,2019100611,11,0
3361,2019100611,11,0
3759,2019100611,12,0
3791,2019100611,12,0
3813,2019100611,11,0
3846,2019100611,11,0
3872,2019100611,12,1
3914,2019100611,11,0
3994,2019100611,11,0
4015,2019100611,11,0
4036,2019100611,11,0
4191,2019100611,21,0
4212,2019100611,12,1
4237,2019100611,12,0
4258,2019100611,11,0
4296,2019100611,11,0
4320,2019100611,11,0
200,2019101400,20,0
221,2019101400,11,0
247,2019101400,11,0
512,2019101400,21,1
536,2019101400,21,1
560,2019101400,11,0
584,2019101400,21,0
605,2019101400,21,0
978,2019101400,11,0
1011,2019101400,11,0
1035,2019101400,11,0
1057,2019101400,12,0
1089,2019101400,11,0
1113,2019101400,11,0
1142,2019101400,11,0
1163,2019101400,11,0
1202,2019101400,11,0
1235,2019101400,12,0
1257,2019101400,11,0
1278,2019101400,12,0
1299,2019101400,11,0
1321,2019101400,11,0
1372,2019101400,12,0
1394,2019101400,11,0
1640,2019101400,11,0
1661,2019101400,20,0
1685,2019101400,13,0
1708,2019101400,11,0
1737,2019101400,12,1
1759,2019101400,11,0
1800,2019101400,11,0
1824,2019101400,11,0
1862,2019101400,11,1
1897,2019101400,11,0
1938,2019101400,11,0
1960,2019101400,11,0
2092,2019101400,21,1
2128,2019101400,12,1
2152,2019101400,12,0
2173,2019101400,12,0
2194,2019101400,11,0
2519,2019101400,11,1
2538,2019101400,11,0
2563,2019101400,11,0
2791,2019101400,21,0
2812,2019101400,11,0
2834,2019101400,11,0
3017,2019101400,11,0
3055,2019101400,11,0
3079,2019101400,11,0
3101,2019101400,11,0
3122,2019101400,11,0
3307,2019101400,11,0
3328,2019101400,11,0
3352,2019101400,11,1
3376,2019101400,11,0
3398,2019101400,11,0
3428,2019101400,11,0
3449,2019101400,11,0
3471,2019101400,11,0
3720,2019101400,11,0
3744,2019101400,11,0
3768,2019101400,11,0
3792,2019101400,11,0
3813,2019101400,11,1
3837,2019101400,11,0
3861,2019101400,11,0
3899,2019101400,11,0
3940,2019101400,11,0
3978,2019101400,11,0
4016,2019101400,11,0
4066,2019101400,12,0
220,2019102004,11,0
281,2019102004,11,0
307,2019102004,11,1
333,2019102004,20,0
355,2019102004,11,0
390,2019102004,11,0
624,2019102004,21,0
653,2019102004,21,0
674,2019102004,21,1
703,2019102004,11,0
724,2019102004,11,1
746,2019102004,11,0
1287,2019102004,21,0
1308,2019102004,21,0
1337,2019102004,21,0
1358,2019102004,11,0
1393,2019102004,20,1
1417,2019102004,11,0
1441,2019102004,11,0
1462,2019102004,11,0
1483,2019102004,11,0
1521,2019102004,11,0
1568,2019102004,11,0
1601,2019102004,32,0
1625,2019102004,32,0
1883,2019102004,11,0
1907,2019102004,11,0
1929,2019102004,11,0
2022,2019102004,11,0
2044,2019102004,11,0
2068,2019102004,11,0
2109,2019102004,11,0
2138,2019102004,11,0
2283,2019102004,21,1
2307,2019102004,21,1
2331,2019102004,11,1
